# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
1rso,A,Q62696,?
1rso,B,Q62915,2.7.11.1
1rso,C,Q62696,?
1rso,D,Q62915,2.7.11.1
1rsr,A,P69924,1.17.4.1
1rsr,B,P69924,1.17.4.1
1rss,A,P17291,?
1rst,B,P22629,?
1rsu,B,P22629,?
1rsv,A,P69924,1.17.4.1
1rsv,B,P69924,1.17.4.1
1rsw,A,P02632,?
1rsx,A,P02632,?
1rsy,A,P21707,?
1rsz,A,P00491,2.4.2.1
1rt0,A,P02633,?
1rt1,A,P04585,2.7.7.-
1rt1,A,P04585,2.7.7.49
1rt1,A,P04585,2.7.7.7
1rt1,A,P04585,3.1.-.-
1rt1,A,P04585,3.1.13.2
1rt1,A,P04585,3.1.26.13
1rt1,A,P04585,3.4.23.16
1rt1,B,P04585,2.7.7.-
1rt1,B,P04585,2.7.7.49
1rt1,B,P04585,2.7.7.7
1rt1,B,P04585,3.1.-.-
1rt1,B,P04585,3.1.13.2
1rt1,B,P04585,3.1.26.13
1rt1,B,P04585,3.4.23.16
1rt2,A,P04585,2.7.7.-
1rt2,A,P04585,2.7.7.49
1rt2,A,P04585,2.7.7.7
1rt2,A,P04585,3.1.-.-
1rt2,A,P04585,3.1.13.2
1rt2,A,P04585,3.1.26.13
1rt2,A,P04585,3.4.23.16
1rt2,B,P04585,2.7.7.-
1rt2,B,P04585,2.7.7.49
1rt2,B,P04585,2.7.7.7
1rt2,B,P04585,3.1.-.-
1rt2,B,P04585,3.1.13.2
1rt2,B,P04585,3.1.26.13
1rt2,B,P04585,3.4.23.16
1rt3,A,P04585,2.7.7.-
1rt3,A,P04585,2.7.7.49
1rt3,A,P04585,2.7.7.7
1rt3,A,P04585,3.1.-.-
1rt3,A,P04585,3.1.13.2
1rt3,A,P04585,3.1.26.13
1rt3,A,P04585,3.4.23.16
1rt3,B,P04585,2.7.7.-
1rt3,B,P04585,2.7.7.49
1rt3,B,P04585,2.7.7.7
1rt3,B,P04585,3.1.-.-
1rt3,B,P04585,3.1.13.2
1rt3,B,P04585,3.1.26.13
1rt3,B,P04585,3.4.23.16
1rt4,A,P04585,2.7.7.-
1rt4,A,P04585,2.7.7.49
1rt4,A,P04585,2.7.7.7
1rt4,A,P04585,3.1.-.-
1rt4,A,P04585,3.1.13.2
1rt4,A,P04585,3.1.26.13
1rt4,A,P04585,3.4.23.16
1rt4,B,P04585,2.7.7.-
1rt4,B,P04585,2.7.7.49
1rt4,B,P04585,2.7.7.7
1rt4,B,P04585,3.1.-.-
1rt4,B,P04585,3.1.13.2
1rt4,B,P04585,3.1.26.13
1rt4,B,P04585,3.4.23.16
1rt5,A,P04585,2.7.7.-
1rt5,A,P04585,2.7.7.49
1rt5,A,P04585,2.7.7.7
1rt5,A,P04585,3.1.-.-
1rt5,A,P04585,3.1.13.2
1rt5,A,P04585,3.1.26.13
1rt5,A,P04585,3.4.23.16
1rt5,B,P04585,2.7.7.-
1rt5,B,P04585,2.7.7.49
1rt5,B,P04585,2.7.7.7
1rt5,B,P04585,3.1.-.-
1rt5,B,P04585,3.1.13.2
1rt5,B,P04585,3.1.26.13
1rt5,B,P04585,3.4.23.16
1rt6,A,P04585,2.7.7.-
1rt6,A,P04585,2.7.7.49
1rt6,A,P04585,2.7.7.7
1rt6,A,P04585,3.1.-.-
1rt6,A,P04585,3.1.13.2
1rt6,A,P04585,3.1.26.13
1rt6,A,P04585,3.4.23.16
1rt6,B,P04585,2.7.7.-
1rt6,B,P04585,2.7.7.49
1rt6,B,P04585,2.7.7.7
1rt6,B,P04585,3.1.-.-
1rt6,B,P04585,3.1.13.2
1rt6,B,P04585,3.1.26.13
1rt6,B,P04585,3.4.23.16
1rt7,A,P04585,2.7.7.-
1rt7,A,P04585,2.7.7.49
1rt7,A,P04585,2.7.7.7
1rt7,A,P04585,3.1.-.-
1rt7,A,P04585,3.1.13.2
1rt7,A,P04585,3.1.26.13
1rt7,A,P04585,3.4.23.16
1rt7,B,P04585,2.7.7.-
1rt7,B,P04585,2.7.7.49
1rt7,B,P04585,2.7.7.7
1rt7,B,P04585,3.1.-.-
1rt7,B,P04585,3.1.13.2
1rt7,B,P04585,3.1.26.13
1rt7,B,P04585,3.4.23.16
1rt8,A,O59945,?
1rt9,A,P00491,2.4.2.1
1rta,E,P61823,4.6.1.18
1rtb,A,P61823,4.6.1.18
1rtc,A,P02879,3.2.2.22
1rtd,A,P03366,2.7.7.-
1rtd,A,P03366,2.7.7.49
1rtd,A,P03366,2.7.7.7
1rtd,A,P03366,3.1.-.-
1rtd,A,P03366,3.1.13.2
1rtd,A,P03366,3.1.26.13
1rtd,A,P03366,3.4.23.16
1rtd,B,P04585,2.7.7.-
1rtd,B,P04585,2.7.7.49
1rtd,B,P04585,2.7.7.7
1rtd,B,P04585,3.1.-.-
1rtd,B,P04585,3.1.13.2
1rtd,B,P04585,3.1.26.13
1rtd,B,P04585,3.4.23.16
1rtd,C,P03366,2.7.7.-
1rtd,C,P03366,2.7.7.49
1rtd,C,P03366,2.7.7.7
1rtd,C,P03366,3.1.-.-
1rtd,C,P03366,3.1.13.2
1rtd,C,P03366,3.1.26.13
1rtd,C,P03366,3.4.23.16
1rtd,D,P04585,2.7.7.-
1rtd,D,P04585,2.7.7.49
1rtd,D,P04585,2.7.7.7
1rtd,D,P04585,3.1.-.-
1rtd,D,P04585,3.1.13.2
1rtd,D,P04585,3.1.26.13
1rtd,D,P04585,3.4.23.16
1rte,A,P9WN25,?
1rte,B,P9WN25,?
1rtf,B,P00750,3.4.21.68
1rtg,A,P08253,3.4.24.24
1rth,A,P04585,2.7.7.-
1rth,A,P04585,2.7.7.49
1rth,A,P04585,2.7.7.7
1rth,A,P04585,3.1.-.-
1rth,A,P04585,3.1.13.2
1rth,A,P04585,3.1.26.13
1rth,A,P04585,3.4.23.16
1rth,B,P04585,2.7.7.-
1rth,B,P04585,2.7.7.49
1rth,B,P04585,2.7.7.7
1rth,B,P04585,3.1.-.-
1rth,B,P04585,3.1.13.2
1rth,B,P04585,3.1.26.13
1rth,B,P04585,3.4.23.16
1rti,A,P04585,2.7.7.-
1rti,A,P04585,2.7.7.49
1rti,A,P04585,2.7.7.7
1rti,A,P04585,3.1.-.-
1rti,A,P04585,3.1.13.2
1rti,A,P04585,3.1.26.13
1rti,A,P04585,3.4.23.16
1rti,B,P04585,2.7.7.-
1rti,B,P04585,2.7.7.49
1rti,B,P04585,2.7.7.7
1rti,B,P04585,3.1.-.-
1rti,B,P04585,3.1.13.2
1rti,B,P04585,3.1.26.13
1rti,B,P04585,3.4.23.16
1rtj,A,P04585,2.7.7.-
1rtj,A,P04585,2.7.7.49
1rtj,A,P04585,2.7.7.7
1rtj,A,P04585,3.1.-.-
1rtj,A,P04585,3.1.13.2
1rtj,A,P04585,3.1.26.13
1rtj,A,P04585,3.4.23.16
1rtj,B,P04585,2.7.7.-
1rtj,B,P04585,2.7.7.49
1rtj,B,P04585,2.7.7.7
1rtj,B,P04585,3.1.-.-
1rtj,B,P04585,3.1.13.2
1rtj,B,P04585,3.1.26.13
1rtj,B,P04585,3.4.23.16
1rtk,A,P00751,3.4.21.47
1rtl,A,P26664,2.7.7.48
1rtl,A,P26664,3.4.21.98
1rtl,A,P26664,3.4.22.-
1rtl,A,P26664,3.6.1.15
1rtl,A,P26664,3.6.4.13
1rtl,B,P26664,2.7.7.48
1rtl,B,P26664,3.4.21.98
1rtl,B,P26664,3.4.22.-
1rtl,B,P26664,3.6.1.15
1rtl,B,P26664,3.6.4.13
1rtl,C,O39914,?
1rtl,D,O39914,?
1rtm,1,P19999,?
1rtm,2,P19999,?
1rtm,3,P19999,?
1rtn,A,P13501,?
1rtn,B,P13501,?
1rto,A,P13501,?
1rto,B,P13501,?
1rtp,1,P02625,?
1rtp,2,P02625,?
1rtp,3,P02625,?
1rtq,A,Q01693,3.4.11.10
1rtr,A,A0A0H3JWH0,?
1rtr,B,A0A0H3JWH0,?
1rts,A,P45352,2.1.1.45
1rts,B,P45352,2.1.1.45
1rtt,A,Q9I4D4,1.-.-.-
1rtu,A,P00654,4.6.1.20
1rtv,A,Q9HU21,5.1.3.13
1rtw,A,Q8U189,?
1rtw,B,Q8U189,?
1rtw,C,Q8U189,?
1rtw,D,Q8U189,?
1rtx,A,P73925,?
1rty,A,O34899,2.5.1.17
1rty,B,O34899,2.5.1.17
1rty,C,O34899,2.5.1.17
1rtz,A,P26281,2.7.6.3
1ru0,A,Q9CZL5,4.2.1.96
1ru0,B,Q9CZL5,4.2.1.96
1ru1,A,P26281,2.7.6.3
1ru1,B,P26281,2.7.6.3
1ru2,A,P26281,2.7.6.3
1ru3,A,P83789,2.3.1.169
1ru4,A,P0C1A7,4.2.2.2
1ru5,A,P68005,?
1ru7,A,P03452,?
1ru7,B,P03452,?
1ru7,C,P03452,?
1ru7,D,P03452,?
1ru7,E,P03452,?
1ru7,F,P03452,?
1ru7,G,P03452,?
1ru7,H,P03452,?
1ru7,I,P03452,?
1ru7,J,P03452,?
1ru7,K,P03452,?
1ru7,L,P03452,?
1ru9,H,P01865,?
1rua,H,P01865,?
1rua,L,Q58EU8,?
1ruc,1,P03303,2.7.7.48
1ruc,1,P03303,3.4.22.28
1ruc,1,P03303,3.4.22.29
1ruc,1,P03303,3.6.1.15
1ruc,2,P03303,2.7.7.48
1ruc,2,P03303,3.4.22.28
1ruc,2,P03303,3.4.22.29
1ruc,2,P03303,3.6.1.15
1ruc,3,P03303,2.7.7.48
1ruc,3,P03303,3.4.22.28
1ruc,3,P03303,3.4.22.29
1ruc,3,P03303,3.6.1.15
1ruc,4,P03303,2.7.7.48
1ruc,4,P03303,3.4.22.28
1ruc,4,P03303,3.4.22.29
1ruc,4,P03303,3.6.1.15
1rud,1,P03303,2.7.7.48
1rud,1,P03303,3.4.22.28
1rud,1,P03303,3.4.22.29
1rud,1,P03303,3.6.1.15
1rud,2,P03303,2.7.7.48
1rud,2,P03303,3.4.22.28
1rud,2,P03303,3.4.22.29
1rud,2,P03303,3.6.1.15
1rud,3,P03303,2.7.7.48
1rud,3,P03303,3.4.22.28
1rud,3,P03303,3.4.22.29
1rud,3,P03303,3.6.1.15
1rud,4,P03303,2.7.7.48
1rud,4,P03303,3.4.22.28
1rud,4,P03303,3.4.22.29
1rud,4,P03303,3.6.1.15
1rue,1,P03303,2.7.7.48
1rue,1,P03303,3.4.22.28
1rue,1,P03303,3.4.22.29
1rue,1,P03303,3.6.1.15
1rue,2,P03303,2.7.7.48
1rue,2,P03303,3.4.22.28
1rue,2,P03303,3.4.22.29
1rue,2,P03303,3.6.1.15
1rue,3,P03303,2.7.7.48
1rue,3,P03303,3.4.22.28
1rue,3,P03303,3.4.22.29
1rue,3,P03303,3.6.1.15
1rue,4,P03303,2.7.7.48
1rue,4,P03303,3.4.22.28
1rue,4,P03303,3.4.22.29
1rue,4,P03303,3.6.1.15
1ruf,1,P03303,2.7.7.48
1ruf,1,P03303,3.4.22.28
1ruf,1,P03303,3.4.22.29
1ruf,1,P03303,3.6.1.15
1ruf,2,P03303,2.7.7.48
1ruf,2,P03303,3.4.22.28
1ruf,2,P03303,3.4.22.29
1ruf,2,P03303,3.6.1.15
1ruf,3,P03303,2.7.7.48
1ruf,3,P03303,3.4.22.28
1ruf,3,P03303,3.4.22.29
1ruf,3,P03303,3.6.1.15
1ruf,4,P03303,2.7.7.48
1ruf,4,P03303,3.4.22.28
1ruf,4,P03303,3.4.22.29
1ruf,4,P03303,3.6.1.15
1rug,1,P03303,2.7.7.48
1rug,1,P03303,3.4.22.28
1rug,1,P03303,3.4.22.29
1rug,1,P03303,3.6.1.15
1rug,2,P03303,2.7.7.48
1rug,2,P03303,3.4.22.28
1rug,2,P03303,3.4.22.29
1rug,2,P03303,3.6.1.15
1rug,3,P03303,2.7.7.48
1rug,3,P03303,3.4.22.28
1rug,3,P03303,3.4.22.29
1rug,3,P03303,3.6.1.15
1rug,4,P03303,2.7.7.48
1rug,4,P03303,3.4.22.28
1rug,4,P03303,3.4.22.29
1rug,4,P03303,3.6.1.15
1ruh,1,P03303,2.7.7.48
1ruh,1,P03303,3.4.22.28
1ruh,1,P03303,3.4.22.29
1ruh,1,P03303,3.6.1.15
1ruh,2,P03303,2.7.7.48
1ruh,2,P03303,3.4.22.28
1ruh,2,P03303,3.4.22.29
1ruh,2,P03303,3.6.1.15
1ruh,3,P03303,2.7.7.48
1ruh,3,P03303,3.4.22.28
1ruh,3,P03303,3.4.22.29
1ruh,3,P03303,3.6.1.15
1ruh,4,P03303,2.7.7.48
1ruh,4,P03303,3.4.22.28
1ruh,4,P03303,3.4.22.29
1ruh,4,P03303,3.6.1.15
1rui,1,P03303,2.7.7.48
1rui,1,P03303,3.4.22.28
1rui,1,P03303,3.4.22.29
1rui,1,P03303,3.6.1.15
1rui,2,P03303,2.7.7.48
1rui,2,P03303,3.4.22.28
1rui,2,P03303,3.4.22.29
1rui,2,P03303,3.6.1.15
1rui,3,P03303,2.7.7.48
1rui,3,P03303,3.4.22.28
1rui,3,P03303,3.4.22.29
1rui,3,P03303,3.6.1.15
1rui,4,P03303,2.7.7.48
1rui,4,P03303,3.4.22.28
1rui,4,P03303,3.4.22.29
1rui,4,P03303,3.6.1.15
1ruj,1,P03303,2.7.7.48
1ruj,1,P03303,3.4.22.28
1ruj,1,P03303,3.4.22.29
1ruj,1,P03303,3.6.1.15
1ruj,2,P03303,2.7.7.48
1ruj,2,P03303,3.4.22.28
1ruj,2,P03303,3.4.22.29
1ruj,2,P03303,3.6.1.15
1ruj,3,P03303,2.7.7.48
1ruj,3,P03303,3.4.22.28
1ruj,3,P03303,3.4.22.29
1ruj,3,P03303,3.6.1.15
1ruj,4,P03303,2.7.7.48
1ruj,4,P03303,3.4.22.28
1ruj,4,P03303,3.4.22.29
1ruj,4,P03303,3.6.1.15
1ruk,H,P01865,?
1rul,H,P01865,?
1rum,H,P01865,?
1rum,L,Q58EU8,?
1run,A,P0ACJ8,?
1run,B,P0ACJ8,?
1ruo,A,P0ACJ8,?
1ruo,B,P0ACJ8,?
1rup,H,P01865,?
1ruq,H,Q569W9,?
1ruq,L,P01837,?
1rur,H,Q569W9,?
1rur,L,P01837,?
1rus,A,P04718,4.1.1.39
1rus,B,P04718,4.1.1.39
1rut,X,P70662,?
1ruu,A,P68005,?
1ruv,A,P61823,4.6.1.18
1ruw,A,P36006,?
1ruy,H,Q9WCD9,?
1ruy,I,P18875,?
1ruy,J,Q9WCD9,?
1ruy,K,P18875,?
1ruy,L,Q9WCD9,?
1ruy,M,P18875,?
1ruz,H,Q9WFX3,?
1ruz,I,Q9WFX3,?
1ruz,J,Q9WFX3,?
1ruz,K,Q9WFX3,?
1ruz,L,Q9WFX3,?
1ruz,M,Q9WFX3,?
1rv0,H,Q82500,?
1rv0,I,Q82500,?
1rv0,J,Q82500,?
1rv0,K,Q82500,?
1rv0,L,Q82500,?
1rv0,M,Q82500,?
1rv1,A,Q00987,2.3.2.27
1rv1,B,Q00987,2.3.2.27
1rv1,C,Q00987,2.3.2.27
1rv3,A,P07511,2.1.2.1
1rv3,B,P07511,2.1.2.1
1rv4,A,P07511,2.1.2.1
1rv4,B,P07511,2.1.2.1
1rv5,A,P04390,3.1.21.4
1rv5,B,P04390,3.1.21.4
1rv6,V,P49763,?
1rv6,W,P49763,?
1rv6,X,P17948,2.7.10.1
1rv6,Y,P17948,2.7.10.1
1rv7,A,Q9QM22,3.4.23.16
1rv7,B,Q9QM22,3.4.23.16
1rv8,A,Q9RHA2,4.1.2.13
1rv8,B,Q9RHA2,4.1.2.13
1rv8,C,Q9RHA2,4.1.2.13
1rv8,D,Q9RHA2,4.1.2.13
1rv9,A,Q9K0A8,2.4.2.1
1rv9,A,Q9K0A8,2.4.2.28
1rv9,A,Q9K0A8,3.5.4.4
1rva,A,P04390,3.1.21.4
1rva,B,P04390,3.1.21.4
1rvb,A,P04390,3.1.21.4
1rvb,B,P04390,3.1.21.4
1rvc,A,P04390,3.1.21.4
1rvc,B,P04390,3.1.21.4
1rvd,A,P01112,3.6.5.2
1rve,A,P04390,3.1.21.4
1rve,B,P04390,3.1.21.4
1rvf,1,P03303,2.7.7.48
1rvf,1,P03303,3.4.22.28
1rvf,1,P03303,3.4.22.29
1rvf,1,P03303,3.6.1.15
1rvf,2,P03303,2.7.7.48
1rvf,2,P03303,3.4.22.28
1rvf,2,P03303,3.4.22.29
1rvf,2,P03303,3.6.1.15
1rvf,3,P03303,2.7.7.48
1rvf,3,P03303,3.4.22.28
1rvf,3,P03303,3.4.22.29
1rvf,3,P03303,3.6.1.15
1rvf,4,P03303,2.7.7.48
1rvf,4,P03303,3.4.22.28
1rvf,4,P03303,3.4.22.29
1rvf,4,P03303,3.6.1.15
1rvf,L,Q8K1F2,?
1rvg,A,Q9RHA2,4.1.2.13
1rvg,B,Q9RHA2,4.1.2.13
1rvg,C,Q9RHA2,4.1.2.13
1rvg,D,Q9RHA2,4.1.2.13
1rvj,H,P0C0Y7,?
1rvj,L,P0C0Y8,?
1rvj,M,P0C0Y9,?
1rvk,A,Q7CSI0,?
1rvs,A,P02767,?
1rvt,H,Q82500,?
1rvt,I,Q82500,?
1rvt,J,Q82500,?
1rvt,K,Q82500,?
1rvt,L,Q82500,?
1rvt,M,Q82500,?
1rvu,A,P07511,2.1.2.1
1rvu,B,P07511,2.1.2.1
1rvv,1,P11998,2.5.1.78
1rvv,2,P11998,2.5.1.78
1rvv,3,P11998,2.5.1.78
1rvv,4,P11998,2.5.1.78
1rvv,A,P11998,2.5.1.78
1rvv,B,P11998,2.5.1.78
1rvv,C,P11998,2.5.1.78
1rvv,D,P11998,2.5.1.78
1rvv,E,P11998,2.5.1.78
1rvv,F,P11998,2.5.1.78
1rvv,G,P11998,2.5.1.78
1rvv,H,P11998,2.5.1.78
1rvv,I,P11998,2.5.1.78
1rvv,J,P11998,2.5.1.78
1rvv,K,P11998,2.5.1.78
1rvv,L,P11998,2.5.1.78
1rvv,M,P11998,2.5.1.78
1rvv,N,P11998,2.5.1.78
1rvv,O,P11998,2.5.1.78
1rvv,P,P11998,2.5.1.78
1rvv,Q,P11998,2.5.1.78
1rvv,R,P11998,2.5.1.78
1rvv,S,P11998,2.5.1.78
1rvv,T,P11998,2.5.1.78
1rvv,U,P11998,2.5.1.78
1rvv,V,P11998,2.5.1.78
1rvv,W,P11998,2.5.1.78
1rvv,X,P11998,2.5.1.78
1rvv,Y,P11998,2.5.1.78
1rvv,Z,P11998,2.5.1.78
1rvw,A,P69905,?
1rvw,B,P68871,?
1rvx,A,P03452,?
1rvx,B,P03452,?
1rvx,C,P03452,?
1rvx,D,P03452,?
1rvx,E,P03452,?
1rvx,F,P03452,?
1rvx,G,P03452,?
1rvx,H,P03452,?
1rvx,I,P03452,?
1rvx,J,P03452,?
1rvx,K,P03452,?
1rvx,L,P03452,?
1rvy,A,P07511,2.1.2.1
1rvy,B,P07511,2.1.2.1
1rvz,A,P03452,?
1rvz,B,P03452,?
1rvz,C,P03452,?
1rvz,D,P03452,?
1rvz,E,P03452,?
1rvz,F,P03452,?
1rvz,G,P03452,?
1rvz,H,P03452,?
1rvz,I,P03452,?
1rvz,J,P03452,?
1rvz,K,P03452,?
1rvz,L,P03452,?
1rw0,A,Q8Z4J1,2.4.2.1
1rw0,A,Q8Z4J1,2.4.2.28
1rw0,A,Q8Z4J1,3.5.4.4
1rw0,B,Q8Z4J1,2.4.2.1
1rw0,B,Q8Z4J1,2.4.2.28
1rw0,B,Q8Z4J1,3.5.4.4
1rw1,A,Q9HXX5,?
1rw2,A,P13010,3.6.4.-
1rw4,A,P00459,1.18.6.1
1rw5,A,P01236,?
1rw8,A,P36897,2.7.11.30
1rw9,A,P84141,4.2.2.5
1rwa,A,P84141,4.2.2.5
1rwb,A,P40288,1.1.1.47
1rwb,B,P40288,1.1.1.47
1rwb,E,P40288,1.1.1.47
1rwb,F,P40288,1.1.1.47
1rwc,A,P84141,4.2.2.5
1rwd,A,P24297,?
1rwe,A,P01308,?
1rwe,B,P01308,?
1rwe,C,P01308,?
1rwe,D,P01308,?
1rwf,A,P84141,4.2.2.5
1rwg,A,P84141,4.2.2.5
1rwh,A,P84141,4.2.2.5
1rwi,A,P9WI79,2.7.11.1
1rwi,B,P9WI79,2.7.11.1
1rwj,A,Q74BP5,?
1rwk,A,P29466,3.4.22.36
1rwk,B,P29466,3.4.22.36
1rwl,A,P9WI79,2.7.11.1
1rwm,A,P29466,3.4.22.36
1rwm,B,P29466,3.4.22.36
1rwn,A,P29466,3.4.22.36
1rwn,B,P29466,3.4.22.36
1rwo,A,P29466,3.4.22.36
1rwo,B,P29466,3.4.22.36
1rwp,A,P29466,3.4.22.36
1rwp,B,P29466,3.4.22.36
1rwq,A,P27487,3.4.14.5
1rwq,B,P27487,3.4.14.5
1rwr,A,P12255,?
1rws,A,Q8U1Z3,?
1rwt,A,P12333,?
1rwt,B,P12333,?
1rwt,C,P12333,?
1rwt,D,P12333,?
1rwt,E,P12333,?
1rwt,F,P12333,?
1rwt,G,P12333,?
1rwt,H,P12333,?
1rwt,I,P12333,?
1rwt,J,P12333,?
1rwu,A,P0A8J4,?
1rwv,A,P29466,3.4.22.36
1rwv,B,P29466,3.4.22.36
1rww,A,P29466,3.4.22.36
1rww,B,P29466,3.4.22.36
1rwx,A,P29466,3.4.22.36
1rwx,B,P29466,3.4.22.36
1rwy,A,P02625,?
1rwy,B,P02625,?
1rwy,C,P02625,?
1rwz,A,O29912,?
1rx0,A,Q9UKU7,1.3.8.5
1rx0,B,Q9UKU7,1.3.8.5
1rx0,C,Q9UKU7,1.3.8.5
1rx0,D,Q9UKU7,1.3.8.5
1rx1,A,P0ABQ4,1.5.1.3
1rx2,A,P0ABQ4,1.5.1.3
1rx3,A,P0ABQ4,1.5.1.3
1rx4,A,P0ABQ4,1.5.1.3
1rx5,A,P0ABQ4,1.5.1.3
1rx6,A,P0ABQ4,1.5.1.3
1rx7,A,P0ABQ4,1.5.1.3
1rx8,A,P0ABQ4,1.5.1.3
1rx9,A,P0ABQ4,1.5.1.3
1rxc,A,P12758,2.4.2.3
1rxc,B,P12758,2.4.2.3
1rxc,C,P12758,2.4.2.3
1rxc,D,P12758,2.4.2.3
1rxc,E,P12758,2.4.2.3
1rxc,F,P12758,2.4.2.3
1rxc,G,P12758,2.4.2.3
1rxc,H,P12758,2.4.2.3
1rxc,I,P12758,2.4.2.3
1rxc,J,P12758,2.4.2.3
1rxc,K,P12758,2.4.2.3
1rxc,L,P12758,2.4.2.3
1rxd,A,Q93096,3.1.3.48
1rxd,B,Q93096,3.1.3.48
1rxd,C,Q93096,3.1.3.48
1rxe,A,P0A006,1.20.4.4
1rxf,A,P18548,1.14.20.1
1rxg,A,P18548,1.14.20.1
1rxh,A,P22629,?
1rxh,B,P22629,?
1rxi,A,P0A006,1.20.4.4
1rxj,A,P22629,?
1rxj,B,P22629,?
1rxj,C,P22629,?
1rxj,D,P22629,?
1rxk,A,P22629,?
1rxk,B,P22629,?
1rxl,A,Q57254,?
1rxm,A,O29912,?
1rxo,B,P00875,4.1.1.39
1rxo,C,P00870,4.1.1.39
1rxo,E,P00875,4.1.1.39
1rxo,F,P00870,4.1.1.39
1rxo,H,P00875,4.1.1.39
1rxo,I,P00870,4.1.1.39
1rxo,L,P00875,4.1.1.39
1rxo,S,P00870,4.1.1.39
1rxp,A,P00760,3.4.21.4
1rxq,A,O31562,3.-.-.-
1rxq,B,O31562,3.-.-.-
1rxq,C,O31562,3.-.-.-
1rxq,D,O31562,3.-.-.-
1rxr,A,P19793,?
1rxs,A,P12758,2.4.2.3
1rxs,B,P12758,2.4.2.3
1rxs,C,P12758,2.4.2.3
1rxs,D,P12758,2.4.2.3
1rxs,E,P12758,2.4.2.3
1rxs,F,P12758,2.4.2.3
1rxs,G,P12758,2.4.2.3
1rxs,H,P12758,2.4.2.3
1rxs,I,P12758,2.4.2.3
1rxs,J,P12758,2.4.2.3
1rxs,K,P12758,2.4.2.3
1rxs,L,P12758,2.4.2.3
1rxs,M,P12758,2.4.2.3
1rxs,N,P12758,2.4.2.3
1rxs,O,P12758,2.4.2.3
1rxs,P,P12758,2.4.2.3
1rxs,Q,P12758,2.4.2.3
1rxs,R,P12758,2.4.2.3
1rxs,a,P12758,2.4.2.3
1rxs,b,P12758,2.4.2.3
1rxs,c,P12758,2.4.2.3
1rxs,d,P12758,2.4.2.3
1rxs,e,P12758,2.4.2.3
1rxs,h,P12758,2.4.2.3
1rxs,i,P12758,2.4.2.3
1rxs,j,P12758,2.4.2.3
1rxs,k,P12758,2.4.2.3
1rxs,l,P12758,2.4.2.3
1rxs,m,P12758,2.4.2.3
1rxs,o,P12758,2.4.2.3
1rxt,A,P30419,2.3.1.-
1rxt,A,P30419,2.3.1.97
1rxt,B,P30419,2.3.1.-
1rxt,B,P30419,2.3.1.97
1rxt,C,P30419,2.3.1.-
1rxt,C,P30419,2.3.1.97
1rxt,D,P30419,2.3.1.-
1rxt,D,P30419,2.3.1.97
1rxu,A,P12758,2.4.2.3
1rxu,B,P12758,2.4.2.3
1rxu,C,P12758,2.4.2.3
1rxu,D,P12758,2.4.2.3
1rxu,E,P12758,2.4.2.3
1rxu,F,P12758,2.4.2.3
1rxu,G,P12758,2.4.2.3
1rxu,H,P12758,2.4.2.3
1rxu,I,P12758,2.4.2.3
1rxu,J,P12758,2.4.2.3
1rxu,K,P12758,2.4.2.3
1rxu,L,P12758,2.4.2.3
1rxu,M,P12758,2.4.2.3
1rxu,N,P12758,2.4.2.3
1rxu,O,P12758,2.4.2.3
1rxu,P,P12758,2.4.2.3
1rxu,Q,P12758,2.4.2.3
1rxu,R,P12758,2.4.2.3
1rxv,A,O29975,3.1.-.-
1rxv,B,O29975,3.1.-.-
1rxw,A,O29975,3.1.-.-
1rxx,A,P13981,3.5.3.6
1rxx,B,P13981,3.5.3.6
1rxx,C,P13981,3.5.3.6
1rxx,D,P13981,3.5.3.6
1rxy,A,P12758,2.4.2.3
1rxy,B,P12758,2.4.2.3
1rxz,A,O29912,?
1rxz,B,O29975,3.1.-.-
1ry0,A,P42330,1.1.1.-
1ry0,A,P42330,1.1.1.188
1ry0,A,P42330,1.1.1.210
1ry0,A,P42330,1.1.1.239
1ry0,A,P42330,1.1.1.357
1ry0,A,P42330,1.1.1.53
1ry0,A,P42330,1.1.1.62
1ry0,A,P42330,1.1.1.64
1ry0,B,P42330,1.1.1.-
1ry0,B,P42330,1.1.1.188
1ry0,B,P42330,1.1.1.210
1ry0,B,P42330,1.1.1.239
1ry0,B,P42330,1.1.1.357
1ry0,B,P42330,1.1.1.53
1ry0,B,P42330,1.1.1.62
1ry0,B,P42330,1.1.1.64
1ry1,B,P09132,?
1ry1,C,P49458,?
1ry1,D,P37108,?
1ry1,S,O62798,?
1ry1,U,O07347,3.6.5.4
1ry1,W,P14576,3.6.5.4
1ry2,A,Q01574,6.2.1.1
1ry3,A,P38580,?
1ry4,A,O97111,?
1ry5,H,P0C0Y7,?
1ry5,L,P0C0Y8,?
1ry5,M,P0C0Y9,?
1ry6,A,Q8I4Y0,?
1ry7,A,P05230,?
1ry7,B,P22607,2.7.10.1
1ry8,A,P42330,1.1.1.-
1ry8,A,P42330,1.1.1.188
1ry8,A,P42330,1.1.1.210
1ry8,A,P42330,1.1.1.239
1ry8,A,P42330,1.1.1.357
1ry8,A,P42330,1.1.1.53
1ry8,A,P42330,1.1.1.62
1ry8,A,P42330,1.1.1.64
1ry8,B,P42330,1.1.1.-
1ry8,B,P42330,1.1.1.188
1ry8,B,P42330,1.1.1.210
1ry8,B,P42330,1.1.1.239
1ry8,B,P42330,1.1.1.357
